stack_nr;U_mean;P_W_m2;P_tot;P_pump_tot;P_net;R_mean;I_mean;OCV_mean;N;S;Ru;h_b;Qb_in;Cb_in;Qr_in;Cr_in;T;SE
1.0;2707.944999837321;3.773778686154965;188688.93430774822;2190.5914941894484;186498.34281355876;14.768795235299068;69.67975136831939;3759.034215203304;49999.99999999999;49999.99999999999;38.86272477528552;0.0002;0.1;2000.0;0.1;100.0;323.0;0.1826321778141902
2.0;1276.609347303354;1.1678127021211517;58390.63510605758;2190.5914941894484;56200.04361186813;13.101607571369579;45.73884346797166;1877.0113855250997;49999.99999999999;49999.99999999999;27.910835747241656;0.0002;0.1;1634.7356443716196;0.1;465.26435562838066;323.0;0.3025944092935192
