stack_nr;Cb;Cr;Cb_out;Cr_out;P_stack;U_stack;h_b_stack;Ru_stack;SE;SE_out
1.0;2000.0;100.0;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.0;0.1826321778141902
1.0;1994.442220598874;105.5577794011264;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.0027788897005630135;0.1826321778141902
1.0;1988.9526313388037;111.04736866119659;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.0055236843305981435;0.1826321778141902
1.0;1983.5299272190598;116.47007278094051;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.0082350363904701;0.1826321778141902
1.0;1978.1726766754343;121.82732332456597;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.010913661662282834;0.1826321778141902
1.0;1972.879377284611;127.1206227153891;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.013560311357694445;0.1826321778141902
1.0;1967.6484944363785;132.35150556362137;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.01617575278181073;0.1826321778141902
1.0;1962.4784876967226;137.5215123032772;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.0187607561516387;0.1826321778141902
1.0;1957.367828369806;142.6321716301938;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.02131608581509704;0.1826321778141902
1.0;1952.3150133086524;147.6849866913476;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.0238424933456738;0.1826321778141902
1.0;1947.3185734162942;152.6814265837058;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.026340713291852922;0.1826321778141902
1.0;1942.3770795051191;157.62292049488087;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.028811460247440437;0.1826321778141902
1.0;1937.4891446975746;162.51085530242534;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.0312554276512127;0.1826321778141902
1.0;1932.6534303844735;167.34656961552665;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.03367328480776325;0.1826321778141902
1.0;1927.8686431222109;172.13135687778913;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.03606567843889456;0.1826321778141902
1.0;1923.1335343206226;176.86646567937748;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.038433232839688684;0.1826321778141902
1.0;1918.4469019832509;181.5530980167492;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.04077654900837456;0.1826321778141902
1.0;1913.8075904911927;186.19240950880734;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.04309620475440363;0.1826321778141902
1.0;1909.2144878653914;190.78551213460852;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.04539275606730428;0.1826321778141902
1.0;1904.6665226039856;195.3334773960145;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.04766673869800718;0.1826321778141902
1.0;1900.1626641230546;199.83733587694545;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.04991866793847271;0.1826321778141902
1.0;1895.7019212276255;204.29807877237457;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.05214903938618727;0.1826321778141902
1.0;1891.2833399147132;208.71666008528703;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.054358330042643385;0.1826321778141902
1.0;1886.9060015512193;213.09399844878095;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.05654699922439033;0.1826321778141902
1.0;1882.569023159486;217.43097684051423;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.05871548842025697;0.1826321778141902
1.0;1878.2715545100343;221.72844548996588;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.06086422274498284;0.1826321778141902
1.0;1874.0127751753535;225.98722482464677;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.06299361241232328;0.1826321778141902
1.0;1869.7918933974731;230.20810660252695;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.06510405330126344;0.1826321778141902
1.0;1865.608147841091;234.39185215890896;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.06719592607945446;0.1826321778141902
1.0;1861.4608039568748;238.53919604312526;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.06926959802156261;0.1826321778141902
1.0;1857.3491524144042;242.65084758559595;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.0713254237927979;0.1826321778141902
1.0;1853.2725090575025;246.72749094249752;1634.7356443716196;465.26435562838066;186498.34281355876;2707.944999837321;0.0002;38.86272477528552;0.07336374547124876;0.1826321778141902
