,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,as_5,ba_5,sr_5,zn_5,mn_5,al_5,li_5,ni_5,E6,E
0,150,4.741903252197481,4.6,150,28.203774151934997,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019586497644292763,0.0,3.81434305178127e-07,0.0,4.3713269641550855e-07,383.5529349839999,4976.56,-3.726869525119952e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4463784204805031e-131,0.11052764915249891,383.6830491307967
1,150,4.741903252197481,4.6,150,30.024022931095594,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020116740618701435,0.0,3.837800226383079e-07,0.0,4.1202879488517175e-07,383.71711092,4976.982999999999,-1.2751469631454427e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4446287019764077e-131,0.11049885841294371,383.8477265190316
2,150,4.741903252197481,4.6,150,31.87022299281517,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02156884551928954,0.0,3.644045605561881e-07,0.0,4.581531442557168e-07,383.0906742480001,4973.2390000000005,-1.5976969015403403e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4428561998848775e-131,0.11052764915249891,383.2227707426719
3,150,4.741903252197481,4.6,150,28.96207727693599,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02275542232256218,0.0,3.516462077120618e-07,0.0,4.6844826419142875e-07,383.73058206,4977.562,-3.5385065414595386e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456492423967249e-131,0.1105132537827213,383.8638507361053
4,150,4.741903252197481,4.6,150,30.105706496092303,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021640656391299702,0.0,3.747947722171747e-07,0.0,4.488114349470279e-07,383.62189575599996,4976.195,-2.370402090862379e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4445502330969442e-131,0.11049885841294371,383.7540352708042
5,150,4.741903252197481,4.6,150,27.01477351495849,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022513997803180516,0.0,3.5892065200762237e-07,0.0,4.577334060166103e-07,383.77512280799994,4977.91,-1.3482259622970948e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4475224943049892e-131,0.11052764915249891,383.9081644549556
6,150,4.741903252197481,4.6,150,29.17167418729491,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019637750823138407,0.0,3.7511711715116215e-07,0.0,4.2186864192484293e-07,383.519859036,4976.775,-1.769713412839813e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.445447760575981e-131,0.11054204452227655,383.65003883134546
7,150,4.741903252197481,4.6,150,28.5159126692213,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020519175288892456,0.0,3.7750174766674206e-07,0.0,4.63747926723189e-07,383.45794911599995,4975.773,-1.824996495304129e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4460782261074473e-131,0.11052764915249891,383.58899594044135
8,150,4.741903252197481,4.6,150,29.933078236534445,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02036103190597103,0.0,3.732844411756087e-07,0.0,4.496035500124867e-07,383.13957161999997,4973.625,-1.7024690651600438e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4447160725252718e-131,0.11052764915249891,383.27046030105845
9,150,4.741903252197481,4.6,150,29.792520827666088,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01671472971007661,0.0,3.610045984480845e-07,0.0,3.59089009773943e-07,383.23464347399994,4974.412,-1.6436709166847412e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.444851116392758e-131,0.11052764915249891,383.36188585286254
