,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,ni_5,zn_5,as_5,rb_5,sr_5,mn_5,al_5,li_5,f__5,cu_5,pb_5,br_5,hg_5,fe_5,cd_5,b__5,E6,E
0,163.62235414294682,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.07448299834720298,0.037615580704307344,9.134991496188043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.531412030998169,3.0,-0.2566860797571511,0.023931499052718623,1.2447404039578218,0.5086874776431267,1.707868093452481,193.18533457070023,15.374412229468224,0.23023493175083826,11.764246035418228,8.314634171053203,7.13981432042641e-05,0.04427923904264266,2.9341889625947806,0.00040513451078467766,69.6525396955167,0.01618225251149837,21.969212206499698,0.08786838707653408,1.2881113399703488
1,149.93389797663602,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1364453209029429,0.03890559508826734,9.967821806586787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175842439177863,3.0,-0.5120063252622855,0.018778220701697337,2.4482555593259248,0.39654991962797587,0.46600696772016276,201.91076700160414,13.944319786517811,0.23474979545420674,35.03685666424217,0.9836767623060745,0.0015743783714465243,0.28682219477598153,69.63486685244216,0.00033751233796478354,11.439694950326023,0.017911613682737512,15.540077010061442,0.08781862859183147,0.6152094216044661
2,174.57413869792015,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.15133239696863393,0.034418537614937975,9.922565845332867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.824540839828581,3.0,-0.21535336140483097,0.015508559204041194,1.5521715762549912,0.34042932351640237,1.6636078912271393,248.27977216919896,13.286361079139569,0.22925158225735123,65.14791309549322,10.889208736464909,0.008849433629073034,0.51511553902958,166.92027784505666,0.00024304535213284478,70.84116610206178,0.029870860098962896,7.567416852522757,0.08791427187227126,1.545769353327387
3,143.144632694249,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11431262113777536,0.036311125647623975,10.39832137105864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0093856548318045,3.0,-0.7074254068324458,0.022747041514592874,3.540204949093363,0.3738032589341018,0.942791321407555,146.39494052319327,18.541089424248177,0.23022137340520596,48.76379594399818,2.7725301688964383,0.007526458958146638,0.4547294545383961,126.9912575902509,0.000415116012870872,67.7355999625722,0.007429221019355771,6.910055523157155,0.0877841502881582,0.27543177714974154
4,164.5075708567112,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.21145655360990212,0.038501183496983366,10.006598907432874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5556672173661847,3.0,-0.2734902268292109,0.031094653262828557,2.925943654533473,0.22216681440645256,0.253163462688423,326.6347757325204,17.579738148710696,0.2337347742942657,61.90518712634405,35.185640389382684,0.004166865458765324,0.46311913380398095,101.02090910872468,8.86540686421961e-05,37.81108407262139,0.020411299839492966,38.437582796848524,0.08786073526403079,1.1585811721911026
5,171.29701311731014,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12606919112679885,0.036669604237040326,9.681117001071515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7362972190129622,3.0,-0.2893092876697957,0.01359303986458829,2.173130758629816,0.5480496666037507,1.7153421527176531,187.8397552959917,15.191438077849252,0.23459955581939881,64.97657391526805,9.437655511415729,0.006189506482959967,0.25386007961801277,174.9321441957219,0.0004695712305536498,22.247919316722985,0.005789014038521397,38.64652728151495,0.0878989822148834,1.408817722431251
6,156.97932984883522,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13355556218881215,0.04060874199027896,9.550542617607224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3588425672641031,3.0,-0.3790690997565178,0.010776313937014186,1.9716727104240295,0.28292260136226954,1.6150019832969649,105.99223084184901,11.599549105312576,0.2137740624615704,49.23583232486005,6.34159809090114,0.002253025179547427,0.14274446900995325,162.063159578343,0.0004735438656749656,0.4488042254583946,0.018483666666585942,9.45431143333083,0.08784160042449933,0.9340595057432726
7,157.75500339583215,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09651755273058563,0.039027213095093626,9.26958562946004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3784016045856973,3.0,-0.23435017822372697,0.04240746525961641,2.8055367723335882,0.4863886327036778,1.4158082975197588,140.39956084348526,18.397059856667795,0.2348775688862437,64.53820697883805,5.315041368663583,0.001449428302317775,0.4144023199362334,181.18866884749386,0.0001634755525973477,18.14378552587867,0.02267482138470466,12.854990773540298,0.08783011587653451,1.135363989507919
8,170.96755552195705,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.0791266163619774,0.03736765780652265,9.245538902021492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7270329652456908,3.0,-1.0292294932401098,0.047873800171408486,2.096960354402632,0.6106575326415878,0.8149074167845385,186.1056302026247,16.919508525601938,0.23330794145833553,65.62167528800326,9.766253822958939,0.005864070291502718,0.587617155680238,120.68235757120895,0.00012481650653927735,81.79600663786064,0.007531948380347161,24.222160233595798,0.08790280524638054,0.706579660889984
9,149.9959145194019,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10777259509964325,0.03888932715612729,9.298219325397323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1776702928281653,3.0,-0.12140484968357815,0.049367831946862645,3.3609536626334373,0.7869212587588578,0.315084581913194,250.02182248154256,16.62967946116965,0.2349844126411821,66.15164720037785,5.644653030601221,0.005089099187436372,0.3231930419400794,140.46244210456604,0.00041740240534064987,55.7961494190155,0.020194037941714392,7.189210172498482,0.08782245799099428,1.036315306035938
