,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,al_5,li_5,as_5,ni_5,mn_5,zn_5,sr_5,rb_5,cd_5,cu_5,br_5,hg_5,pb_5,f__5,fe_5,b__5,E6,E
0,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11823673074713924,0.03803868390249534,9.759358920612847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.20330962451602524,0.2338309574668421,23.269743779644873,0.5585904975241751,0.035796125903674744,15.607469441226323,1.134709399435022,126.33563652608633,0.02767538718121806,0.0061854720071094155,0.0032320549144254527,122.09069723865103,0.0004337342364329781,0.4943265513716447,14.08268479358783,58.45888948205742,25.25984372284346,0.08783011587653451,1.1773397387451698
1,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11364768770975686,0.036955565977147276,9.828640735191723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.5109336979259251,0.23131679341700342,54.89480807348904,0.5211895477811913,0.03308631745785965,15.271675251934274,2.9848601266626207,298.2930878521957,0.29454378715433566,0.0060132015734477235,0.0036585990374096078,21.446745054338574,0.00031161559056920774,0.4332064397606235,27.451017030593196,61.085228110315356,17.57054842188749,0.08783011587653451,0.8743047083726526
2,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.2085054395724861,0.03627867815573839,9.752732338427913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.13492662373381314,0.2342838869455464,65.75632798236752,0.5093861645045225,0.02131624436620549,11.798271664738314,0.9544486180135553,92.3807824380366,1.2586514636781088,0.011582809326872856,0.005487912840233261,189.05545782090542,0.00037907792713883767,0.4347748796762708,32.76752238708449,33.000356247230606,10.50272802884437,0.08783011587653451,1.1554540307020351
3,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13884847273670783,0.036651607156185755,9.788758574585438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.17172175829939673,0.22660810825004707,65.09391249320564,0.5060098512933014,0.04588596000283006,12.106442788508858,2.9736103947973027,132.22730677792043,1.5113861802360449,0.012083594945550403,0.0004952376141395763,6.867085120544729,6.685665795327384e-05,0.5360857112850808,12.40532235134781,60.51435021730043,27.069344351135822,0.08783011587653451,1.18831586297223
4,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12988593959272307,0.03731230976008249,9.997872319032243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.6972361274244748,0.23499600899506265,65.93744264751189,0.32798404676235726,0.01319839060166098,18.35650462885314,1.8336240251215357,144.79745989833893,1.5091697878733246,0.010686972159269004,0.0058043377244042065,55.00737255543004,0.00029450207839258765,0.009091140701708083,32.68210886691576,86.48330868601573,16.68552833412112,0.08783011587653451,0.6717640269911367
5,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.2530795383991212,0.03709707628247966,9.611436522135339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.14417611820539922,0.2283988768725292,46.9498683837753,0.5774838866560639,0.025620429579389543,17.614312763411675,1.8718915759945067,194.51870020080108,1.3569884258566718,0.0005063789597301338,0.00038716886386554975,179.052823112005,0.00022943512125393644,0.24793121257429376,16.87186602215167,1.953145500555548,33.78410592040601,0.08783011587653451,1.1016304374038142
6,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10696593113752127,0.03619538884033828,9.284261491256492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.7964815155761563,0.23471807179584447,44.67049865027949,0.7933108899825125,0.04169038100342391,17.85720679052348,2.838028080051204,228.16005383708634,1.2579875876682904,0.028584278889218058,0.005062687878731228,128.7133630939822,5.959156013275846e-06,0.2939595288513589,28.845555084187424,15.097207803484936,6.950774905573403,0.08783011587653451,0.5954386472946569
7,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.08793240942078505,0.03577639086435211,9.961780527335792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.3126284513223885,0.23499544672109066,62.62871431655347,0.4421866963822189,0.012920055135421936,11.64155031084192,2.3140398079815743,237.84523513047048,0.49009282357089473,0.024437852695252348,0.006663030563608625,177.10627091980288,9.63449089597958e-05,0.4885041360173673,23.70655614174083,54.48798646703697,37.87085080437569,0.08783011587653451,1.098325233265161
8,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.16577277497880374,0.03761179345492052,9.283574732914804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.2699990713893477,0.22682702666117657,65.89416295029666,0.5668135187878296,0.01247415784839778,13.197425122921118,1.5929673541615141,269.2223010778199,1.255783941671155,0.023224464101433456,0.0013778035979444313,89.4232920340954,0.0001385323677977733,0.15789013165227353,30.811395922630883,45.68466442570888,38.17692071994056,0.08783011587653451,1.063114247640183
9,159.0,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.24083124845355258,0.0379654471579178,10.000032387073528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.6696339630771768,0.21484233515806742,65.19751945499839,0.2269839016023278,0.048769984833693714,15.122314289514152,3.289923485810752,163.21854156099465,0.5456542962692479,0.02082698739380801,0.0043097869403609206,103.67192400784496,0.0004257430278155709,0.5429324634073537,0.9792426850295548,12.864904550462652,23.2989729648344,0.08783011587653451,0.588420882477605
