,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,zn_5,as_5,li_5,mn_5,ba_5,sr_5,al_5,ni_5,E6,E
0,149.78824526612885,6.478617086384386,4.626309986786731,166.07283569660098,29.00774780790491,0.35,1363.9391711410517,49835.299794310326,1485.2670370728615,9.337066275239058,106216.79501939515,0.01411107943574096,0.06471529470018077,0.013409057838203172,15.808943595208948,0,2.147449197063452,1.4664084867151486,0.1449323482397189,0.05942940204526946,0.008247154736360254,0.05744602465508722,0,0,0.014704627929188396,0,0.008201480965484838,0,0,0.03856604391627159,0.0,1.2096742006774411e-06,0.0,6.837195645639676e-07,431.6020799436075,5321.768,-3.4374468222608766e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2740744598987967e-144,0.12663233917158095,431.76727832669536
1,140.8710995978859,5.810069589011732,4.853142290323243,157.9748386282533,29.011292141282812,0.35,2272.1471935042573,50340.3961933034,1412.0733112485043,7.756678974944939,107068.29126756717,0.007019580580586238,0.0925374768447469,0.012370012027147596,11.409338096380672,0,1.6633007046894077,1.6799001890306648,0.2002264776313719,0.2999915678802528,0.008279229564413947,0.05755349619736677,0,0,0.015495906605074347,0,0.01160472846981088,0,0,0.042381104268289255,0.0,5.969508135092502e-07,0.0,9.99205082062117e-07,337.5461947409837,5175.665999999999,-3.5796042614471333e-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4373119654389464e-137,0.12243363360630957,337.71100947885833
2,158.23041201785432,3.5942043934851196,4.851530866627576,178.5376199595077,30.06997658560968,0.35,1642.717771853623,51198.246216520114,1500.0217827049664,9.788510657081904,108738.09412099309,0.019446438272239065,0.07992265507233674,0.010317863824257175,16.565475056104564,0,1.7136258021728936,1.3125529122007047,0.4847799666492115,0.369486984703577,0.008263116885901022,0.035303917253637615,0,0,0.015829529903832913,0,0.008304430578862843,0,0,0.04739915819566256,0.0,1.6958076528241573e-06,0.0,8.044901972563835e-07,543.0047349219817,5547.568,-3.792202542481847e-148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.970215822901154e-145,0.1393546239142317,543.1914887040915
3,135.92424538254505,3.6477274795753383,4.752302431752658,175.65596687557945,29.08373992611192,0.35,1382.7125956505242,50562.654785912826,1350.2679555459495,11.013261275782053,109454.87873988724,0.008436566580487848,0.09025374171773651,0.008525681956796349,15.075424745734878,0,1.2555364811364869,1.8446033893574492,0.24499021382198918,0.29183631486922285,0.008220894493030035,0.039042758013706914,0,0,0.01732827003541397,0,0.012386341640447713,0,0,0.04306298846500661,0.0,6.81372445820032e-07,0.0,9.232206172926694e-07,340.9132031184986,5565.298000000001,-5.85129314127833e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8195291143424804e-131,0.13813218920413634,341.09439829616775
4,144.8719762346875,4.447432785666307,4.601439696200564,184.06679254059108,30.541841794878312,0.35,1155.4429918464998,51680.40468753497,1518.9737257054064,11.443031159696455,104828.63080610284,0.006787463431477766,0.04830679561303123,0.01399929357569827,16.53721866475078,0,2.1975449542640826,1.4398325565252326,0.35386003982227343,0.3518098454982166,0.008247284903104838,0.06508908785897044,0,0,0.016042514772769374,0,0.015241239670398397,0,0,0.06751640921987898,0.0,5.912483539136943e-07,0.0,1.457828189466657e-06,440.0492848241994,5713.054999999999,-1.3611556998225593e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4446163859779513e-147,0.14097985513302502,440.2577810885523
5,155.40633299855014,6.585976654675672,4.68598684399779,181.96497279365877,30.15933925869585,0.35,1762.7012062515014,50234.20154121442,1418.642737885223,10.914854723467865,98929.82728704697,0.019857050751823303,0.11834561325421786,0.013409914098983965,13.226051001413158,0,1.0161266149216726,0.8742620222069655,0.6062609226950987,0.2302051148935508,0.008270809807638497,0.056087707036783854,0,0,0.01729974260457921,0,0.008300140348338585,0,0,0.05075651855495705,0.0,1.8095504488619554e-06,0.0,7.859994531905583e-07,530.1905435512268,5635.7970000000005,-9.404445995280837e-141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8001269384356512e-137,0.13394035274683,530.3752404225286
6,128.14081393353248,6.418910475133526,4.697268462111534,175.98654567826674,29.908069600400655,0.35,988.0958435077152,50173.76730900039,1357.6586620376331,10.506189968934368,107280.97691379125,0.019195368312627654,0.10936912282242815,0.011154586976398002,13.077111356523032,0,2.598831316261261,1.346333380850255,0.5044094275310533,0.14210577870686183,0.008263105372869973,0.04030559556929829,0,0,0.01724019657688889,0,0.015460846004269554,0,0,0.0639788019398554,0.0,1.5931155263765697e-06,0.0,1.252252824026636e-06,278.3717886266078,5605.068,-3.1433964376739254e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4140064823350484e-131,0.1367085074223748,278.57247593597003
7,163.16902616476193,7.200371346675203,4.898010968340004,173.88180042062427,30.506102556554517,0.35,1860.6841481713307,51672.86611406418,1378.2221628843163,9.837367563649217,103721.87889019145,0.01437686450332721,0.08731600763150055,0.013620562485072502,13.182418549453086,0,1.4139726205193166,1.6583580191470304,0.3076670257693741,0.46346901069992447,0.008286068757173158,0.05508984074205634,0,0,0.015462390156904033,0,0.00732788614373866,0,0,0.036763637301374316,0.0,1.2876864763596464e-06,0.0,6.610405521569852e-07,570.1409191910949,5435.457,-1.578169379289998e-136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.078398814786194e-133,0.13367904510196565,570.3113618734983
8,148.27051737882098,3.6360932372930406,4.709957485042137,161.00165613966448,30.30881606136237,0.35,1594.0548950086004,51686.56561031882,1404.7495285864502,9.556615272788555,107160.90161559542,0.010335358535665612,0.03954322125398593,0.012052287987260315,14.399185438402835,0,1.2263952189045757,1.8497899342982485,0.13152013854592012,0.3181908129966149,0.008285850739652172,0.03416402916181635,0,0,0.0176239123109444,0,0.007730442212099202,0,0,0.03158218925775135,0.0,7.269241071546544e-07,0.0,6.17418095665872e-07,402.70233336382,5211.907,-2.501104098906038e-139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.497140381298563e-137,0.12605895154398739,402.85997450462173
9,142.841592458554,6.959828842506246,4.79041473950184,172.062062542536,30.696686071377467,0.35,2063.629320327589,51641.823882980745,1353.9575648170437,10.422210890304509,101219.08182268159,0.020103479614646338,0.11860103014263737,0.008165036594524179,14.29515172824188,0,3.004480424072357,0.914127391212857,0.3819156075201269,0.4008700557586152,0.00822341847918845,0.05363506776229313,0,0,0.016594843374470352,0,0.010417887907950205,0,0,0.04924436644223466,0.0,1.6842378468341061e-06,0.0,8.61405221941028e-07,390.32292663647144,5468.487999999999,-4.709096772260705e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7493574650535203e-131,0.13045957580773415,390.5026305787214
