PH,Temperature,Brine origin,Energy input [kWh/m^3],Ca [mg/L],Mg [mg/L],Salinity [g/L],Fe [mg/L],Al [mg/L],Li [mg/L],Cu [mg/L],Energy input [kWh/kg metal rem.],Ewe,Ca + Mg [mg/L],Al out/in ratio,Li out/in ratio
7,20,,12.19,0,1000,30,,155.9,40,,66.21,0.35,1000,0.9849246231155778,0.3065326633165829
7,20,,3.08,2000,100,30,,155.9,40,,17.23,0.35,2100,0.9949748743718593,0.3417085427135679
7,20,,12.22,2000,1000,30,,155.9,40,,83.36,0.35,3000,0.9798994974874372,0.07537688442211055
9,20,,2.28,0,100,30,,155.9,40,,12.61,0.35,100,0.9849246231155778,0.35678391959798994
9,20,,12.19,0,1000,30,,155.9,40,,66.21,0.35,1000,0.9849246231155778,0.06532663316582915
9,20,,3.08,2000,100,30,,155.9,40,,17.23,0.35,2100,0.9849246231155778,0.3316582914572864
9,20,,12.22,2000,1000,30,,155.9,40,,83.36,0.35,3000,0.9798994974874372,0.05527638190954774
11,20,,2.28,0,100,30,,155.9,40,,12.61,0.35,100,0.829145728643216,0.24623115577889446
11,20,,12.19,0,1000,30,,155.9,40,,66.21,0.35,1000,0.9849246231155778,0.07537688442211055
11,20,,3.08,2000,100,30,,155.9,40,,17.23,0.35,2100,0.8844221105527639,0.1758793969849246
11,20,,12.22,2000,1000,30,,155.9,40,,83.36,0.35,3000,0.9798994974874372,0.08542713567839197
7,50,,1.69,0,0,30,,155.9,40,,10.66,0.35,0,0.9945945945945945,0.1027027027027027
9,50,,1.69,0,0,30,,155.9,40,,10.66,0.35,0,0.9945945945945945,0.14594594594594595
11,50,,1.69,0,0,30,,155.9,40,,10.66,0.35,0,0.5405405405405405,0.1783783783783784
